Name,Rank,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Bacteroides cellulosilyticus,Species,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,60400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria,Superkingdom,Bacteria,,,,,,,,43600000000,83200000000,38200000000,10213239010,49125987310,153175053770,154786452200,422303879520,560001963180,628826476560,3186581043200,2957885782880,3476571701630,2703321897810,202994962970,50408946940,166913518700,73027901700,430167938730,934001087850,811308049810,360469213520,200707643670,169041270680,82891560430,149353192500,490783480270,82155165450,179508825330,367882236860
Coriobacteriales,Order,Bacteria,,Actinobacteria,Coriobacteriia,Coriobacteriales,,,,7590000000,6120000000,788000000,0,0,0,0,206085900,14234000,26935897250,0,0,0,0,0,0,0,0,0,8010400,24720000,21347000,0,0,0,0,0,0,0,1173008100
Coriobacteriia,Class,Bacteria,,Actinobacteria,Coriobacteriia,,,,,8010000000,6420000000,788000000,0,0,0,0,206085900,14234000,27408887250,399800000,51479000,2424707000,180008000,0,0,0,0,0,8010400,44597000,21347000,0,0,0,0,0,0,0,1183953100
Tannerellaceae,Family,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,,,250000000,0,0,0,0,64291000,45340000,56828000,712958000,176695000,0,0,1231359000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifidobacteriales,Order,Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,,,,2630000000,26400000000,15800000000,205791000,1492931700,42261916620,114732703900,137516439780,7363278950,9568915700,2399227486800,2141692930880,2346523240890,1494197962810,137798278370,689056260,102516681400,33096334500,163806751280,28643929010,147930000,29424317020,102126278890,2380893610,83718800,55321124100,77146287100,1327987500,66549960500,152508234370
Faecalibacterium,Genus,Bacteria,,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,,0,6308000,193000000,0,0,0,0,8885685700,17022700,15225062800,0,0,0,0,0,0,0,0,1374200000,0,392411000,114040000,0,0,0,0,0,0,0,2362634720
Coprococcus,Genus,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,,0,48900000,0,0,0,11517900,0,0,0,3396962600,0,0,0,88838000,0,0,0,0,0,1343493000,3191113800,1621619000,66779000,47911000,0,0,0,0,216483500,188294200
Streptococcaceae,Family,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,,,1190000000,3000000000,247000000,1418827400,5203004900,406252400,283958000,22345981100,140130951710,15635820100,161937000,70087000,319052000,1565656000,15318700,806190000,108441800,5380751300,2604078300,22587332040,3734084500,50147524520,9942452400,795055500,632627900,606915100,54244832100,4003671600,21022378100,36640351240
Streptococcus,Genus,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,,1150000000,3000000000,225000000,1341369400,4896936900,240614400,283958000,20673744100,137681044440,5781517400,161937000,70087000,319052000,1540625000,15318700,760146000,108441800,4955210400,2114911100,21868678640,3614726500,47941762420,9634222500,715760000,566708200,546711100,52549834500,3808245000,20005518900,35522258040
